year,gdp_per_capita,unemployment_rate,population,urban_pct,country_code
2016,64129.5571542383,8.374,4762722.0,62.7229399123734,IE
2017,72161.4047531385,6.713,4827445.0,62.9035196521232,IE
2018,80804.1123164826,5.741,4898022.0,63.0844503476779,IE
2019,81827.6688873996,4.95,4976456.0,63.2737009154127,IE
2020,86514.0706108754,5.623,5039747.0,63.4713366724915,IE
2021,103783.446284479,6.357,5110585.0,63.6774229356985,IE
2022,105190.685952731,4.465,5212836.0,63.8920250215059,IE
2023,106818.917130804,4.243,5311538.0,64.1152082461268,IE
2010,35856.8625485539,8.363,59819407.0,68.2163741829857,IT
2011,38432.3742820019,8.359,60026841.0,68.4015073889511,IT
2012,34854.3949441965,10.655,60191247.0,68.7608794235259,IT
2013,35701.6746002376,12.149,60311613.0,69.3073989916076,IT
2014,36028.3494022349,12.683,60320707.0,69.5807638614879,IT
2015,30639.8829751432,11.896,60229605.0,69.6100006103516,IT
2016,31391.5692898108,11.688,60115223.0,69.5969232525286,IT
2017,32844.115660604,11.211,60002252.0,69.5180784259382,IT
2018,34904.1081923834,10.538,60148658.0,69.4800033569336,IT
2019,33812.788724868,9.884,59729081.0,69.5050010681153,IT
2020,32091.4866621366,9.192,59438851.0,69.5187492370606,IT
2021,36852.5425414951,9.497,59133173.0,69.4812507629394,IT
2022,35653.9042103495,8.069,59013667.0,69.4839779766539,IT
2023,39277.0838783918,7.627,58984216.0,69.5381540123301,IT
2010,11829.122609457,17.814,3097282.0,66.7712860107422,LT
2011,14261.8433787325,15.39,3028115.0,66.7518340055756,LT
2012,14288.1853493139,13.365,2989139.0,66.8536758422852,LT
2013,15636.5252586048,11.77,2961250.0,67.0092086791992,LT
2014,16446.1647181663,10.698,2937253.0,67.1514937628023,LT
2015,14269.8039878287,9.12,2911109.0,67.2282485961914,LT
2016,14934.2702840428,7.862,2877325.0,67.1894226074219,LT
2017,16800.1510246099,7.073,2842639.0,67.1012954711914,LT
2018,19247.2315367967,6.147,2819200.0,67.1464742010457,LT
2019,19608.7943945553,6.255,2811089.0,67.245735168457,LT
2020,20428.6478157394,8.487,2810369.0,67.4254608154297,LT
2021,23870.4594851722,7.112,2808380.0,68.1912117004395,LT
2022,25085.784063499,5.955,2831639.0,68.2866452426813,LT
2023,27786.0057829276,6.841,2871585.0,68.575454583199,LT
2010,110885.991378721,4.423,506953.0,88.48791681658,LU
2011,119025.057203467,5.122,518347.0,88.9562814837254,LU
2012,112584.676270958,5.03,530946.0,89.4405768017292,LU
2013,120000.140729859,6.045,543360.0,89.9413746679705,LU
2014,123678.702143275,6.044,556319.0,90.4577807676859,LU
2015,105462.012584423,6.796,569604.0,90.9893679353068,LU
2016,106899.293549552,6.669,582014.0,91.5357090052649,LU
2017,110193.213797228,5.523,596336.0,92.0963768119916,LU
2018,116926.759593905,5.589,607950.0,92.6709441899184,LU
2019,112696.649059674,5.592,620001.0,93.2589839734767,LU
2020,116860.02817236,6.766,630419.0,93.8600689970981,LU
2021,134965.815442152,5.571,640064.0,94.5861743396533,LU
