year,country,actual,predicted,error
2023,PL,9494.999999999996,15776.636997938986,-6281.636997938989
2019,PT,1820.0000000000007,757.6771399021843,1062.3228600978164
2020,PT,999.9999999999999,979.592992044761,20.407007955238896
2021,PT,1539.9999999999995,686.027088856486,853.9729111435136
2022,PT,2119.9999999999995,1000.2471877623964,1119.7528122376032
2023,PT,2695.0000000000005,834.7908135284317,1860.2091864715687
2019,RO,2590.0,2697.2129731040372,-107.21297310403725
2020,RO,6154.999999999996,2188.521259027173,3966.4787409728233
2021,RO,9585.000000000002,1490.4625436185197,8094.537456381482
2022,RO,12355.000000000005,1563.0989595950603,10791.901040404946
2023,RO,10095.000000000007,2279.5566853243845,7815.443314675623
2019,SE,30365.00000000002,76600.74637821775,-46235.74637821774
2020,SE,20235.0,93716.7408680908,-73481.7408680908
2021,SE,20419.999999999985,28476.759898166292,-8056.759898166307
2022,SE,23844.99999999998,51703.102741180686,-27858.102741180704
2023,SE,17040.000000000007,53704.684922145214,-36664.68492214521
2019,SI,3819.9999999999977,668.4705834319506,3151.529416568047
2020,SI,3549.9999999999977,572.8832826738119,2977.1167173261856
2021,SI,5299.999999999998,391.26398622326474,4908.736013776734
2022,SI,6785.0000000000055,634.5554376211207,6150.444562378885
2023,SI,7259.999999999999,465.85890210279365,6794.141097897205
2019,SK,229.99999999999994,611.3447557322002,-381.3447557322002
2020,SK,279.9999999999999,457.7512870222997,-177.75128702229983
2021,SK,369.99999999999994,271.42168312841926,98.57831687158068
2022,SK,545.0,475.3937573868702,69.60624261312978
2023,SK,415.0,509.86513194627065,-94.86513194627065
